T, 1567792691.211899, 13846
T, 1567792691.215268, 13749
T, 1567792691.217634, 13660
T, 1567792691.220698, 13574
T, 1567792691.223427, 13475
T, 1567792691.226933, 13385
T, 1567792691.229114, 13286
T, 1567792691.232529, 13192
T, 1567792691.235127, 13094
T, 1567792691.238129, 12994
T, 1567792691.240856, 12893
T, 1567792691.243917, 12797
T, 1567792691.246639, 12687
T, 1567792691.249704, 12589
T, 1567792691.252432, 12479
T, 1567792691.255481, 12371
T, 1567792691.258333, 12266
T, 1567792691.261332, 12153
T, 1567792691.264034, 12041
T, 1567792691.267126, 11927
T, 1567792691.270062, 11816
T, 1567792691.272985, 11708
T, 1567792691.275640, 11587
T, 1567792691.278687, 11475
T, 1567792691.281405, 11367
T, 1567792691.284506, 11254
T, 1567792691.287232, 11136
T, 1567792691.290622, 11025
T, 1567792691.293090, 10913
T, 1567792691.296090, 10799
T, 1567792691.298851, 10687
T, 1567792691.302365, 10575
T, 1567792691.304656, 10462
T, 1567792691.307751, 10350
T, 1567792691.310516, 10237
T, 1567792691.313947, 10128
T, 1567792691.316187, 10012
T, 1567792691.318973, 9904
T, 1567792691.322037, 9796
T, 1567792691.324970, 9688
T, 1567792691.327779, 9581
T, 1567792691.330618, 9475
T, 1567792691.333332, 9371
T, 1567792691.336430, 9269
T, 1567792691.339102, 9171
T, 1567792691.341838, 9077
T, 1567792691.344933, 8981
T, 1567792691.347661, 8882
T, 1567792691.350386, 8792
T, 1567792691.353527, 8700
T, 1567792691.356205, 8610
T, 1567792691.359246, 8516
T, 1567792691.361978, 8425
T, 1567792691.364740, 8336
T, 1567792691.368505, 8243
T, 1567792691.370535, 8152
T, 1567792691.373237, 8063
T, 1567792691.376323, 7975
T, 1567792691.379040, 7884
T, 1567792691.381810, 7799
T, 1567792691.384868, 7710
T, 1567792691.387593, 7623
T, 1567792691.390807, 7535
T, 1567792691.393357, 7447
T, 1567792691.396106, 7356
T, 1567792691.399282, 7273
T, 1567792691.401899, 7183
T, 1567792691.404568, 7097
T, 1567792691.407729, 7007
T, 1567792691.410472, 6912
T, 1567792691.413109, 6820
T, 1567792691.416256, 6727
T, 1567792691.418978, 6639
T, 1567792691.422039, 6542
